x,y,S
-6.283,-6.283,-1.2566
-6.1561,-6.283,-1.2439
-6.0291,-6.283,-1.2312
-5.9022,-6.283,-1.2185
-5.7753,-6.283,-1.2057
-5.6484,-6.283,-1.193
-5.5214,-6.283,-1.1803
-5.3945,-6.283,-1.1676
-5.2676,-6.283,-1.1549
-5.1406,-6.283,-1.1422
-5.0137,-6.283,-1.1295
-4.8868,-6.283,-1.1168
-4.7598,-6.283,-1.1041
-4.6329,-6.283,-1.0914
-4.506,-6.283,-1.0787
-4.3791,-6.283,-1.066
-4.2521,-6.283,-1.0533
-4.1252,-6.283,-1.0407
-3.9983,-6.283,-1.028
-3.8713,-6.283,-1.0153
-3.7444,-6.283,-1.0026
-3.6175,-6.283,-0.98996
-3.4906,-6.283,-0.97729
-3.3636,-6.283,-0.96462
-3.2367,-6.283,-0.95195
-3.1098,-6.283,-0.93928
-2.9828,-6.283,-0.92661
-2.8559,-6.283,-0.91394
-2.729,-6.283,-0.90127
-2.6021,-6.283,-0.8886
-2.4751,-6.283,-0.87593
-2.3482,-6.283,-0.86325
-2.2213,-6.283,-0.85057
-2.0943,-6.283,-0.83789
-1.9674,-6.283,-0.82521
-1.8405,-6.283,-0.81253
-1.7135,-6.283,-0.79984
-1.5866,-6.283,-0.78715
-1.4597,-6.283,-0.77445
-1.3328,-6.283,-0.76176
-1.2058,-6.283,-0.74906
-1.0789,-6.283,-0.73635
-0.95197,-6.283,-0.72365
-0.82504,-6.283,-0.71094
-0.69811,-6.283,-0.69823
-0.57118,-6.283,-0.68552
-0.44425,-6.283,-0.6728
-0.31732,-6.283,-0.66009
-0.19039,-6.283,-0.64737
-0.063465,-6.283,-0.63466
0.063465,-6.283,-0.62194
0.19039,-6.283,-0.60923
0.31732,-6.283,-0.59651
0.44425,-6.283,-0.5838
0.57118,-6.283,-0.57108
0.69811,-6.283,-0.55837
0.82504,-6.283,-0.54566
0.95197,-6.283,-0.53295
1.0789,-6.283,-0.52025
1.2058,-6.283,-0.50754
1.3328,-6.283,-0.49484
1.4597,-6.283,-0.48215
1.5866,-6.283,-0.46945
1.7135,-6.283,-0.45676
1.8405,-6.283,-0.44407
1.9674,-6.283,-0.43139
2.0943,-6.283,-0.41871
2.2213,-6.283,-0.40603
2.3482,-6.283,-0.39335
2.4751,-6.283,-0.38067
2.6021,-6.283,-0.368
2.729,-6.283,-0.35533
2.8559,-6.283,-0.34266
2.9828,-6.283,-0.32999
3.1098,-6.283,-0.31732
3.2367,-6.283,-0.30465
3.3636,-6.283,-0.29198
3.4906,-6.283,-0.27931
3.6175,-6.283,-0.26664
3.7444,-6.283,-0.25396
3.8713,-6.283,-0.24129
3.9983,-6.283,-0.22861
4.1252,-6.283,-0.21593
4.2521,-6.283,-0.20325
4.3791,-6.283,-0.19057
4.506,-6.283,-0.17788
4.6329,-6.283,-0.16519
4.7598,-6.283,-0.1525
4.8868,-6.283,-0.1398
5.0137,-6.283,-0.12711
5.1406,-6.283,-0.1144
5.2676,-6.283,-0.1017
5.3945,-6.283,-0.088994
5.5214,-6.283,-0.076285
5.6484,-6.283,-0.063575
5.7753,-6.283,-0.050862
5.9022,-6.283,-0.038148
6.0291,-6.283,-0.025432
6.1561,-6.283,-0.012716
6.283,-6.283,-0.000000034342
-6.283,-6.1561,-1.2439
-6.1561,-6.1561,-1.2151
-6.0291,-6.1561,-1.1867
-5.9022,-6.1561,-1.1587
-5.7753,-6.1561,-1.1315
-5.6484,-6.1561,-1.1053
-5.5214,-6.1561,-1.0803
-5.3945,-6.1561,-1.0566
-5.2676,-6.1561,-1.0346
-5.1406,-6.1561,-1.0143
-5.0137,-6.1561,-0.99592
-4.8868,-6.1561,-0.97944
-4.7598,-6.1561,-0.96496
-4.6329,-6.1561,-0.95253
-4.506,-6.1561,-0.94212
-4.3791,-6.1561,-0.93372
-4.2521,-6.1561,-0.92724
-4.1252,-6.1561,-0.92259
-3.9983,-6.1561,-0.91964
-3.8713,-6.1561,-0.91822
-3.7444,-6.1561,-0.91817
-3.6175,-6.1561,-0.91928
-3.4906,-6.1561,-0.92132
-3.3636,-6.1561,-0.92405
-3.2367,-6.1561,-0.92724
-3.1098,-6.1561,-0.93062
-2.9828,-6.1561,-0.93393
-2.8559,-6.1561,-0.93692
-2.729,-6.1561,-0.93934
-2.6021,-6.1561,-0.94094
-2.4751,-6.1561,-0.94149
-2.3482,-6.1561,-0.94078
-2.2213,-6.1561,-0.93862
-2.0943,-6.1561,-0.93483
-1.9674,-6.1561,-0.92928
-1.8405,-6.1561,-0.92185
-1.7135,-6.1561,-0.91244
-1.5866,-6.1561,-0.90103
-1.4597,-6.1561,-0.88757
-1.3328,-6.1561,-0.87208
-1.2058,-6.1561,-0.85461
-1.0789,-6.1561,-0.83524
-0.95197,-6.1561,-0.81407
-0.82504,-6.1561,-0.79124
-0.69811,-6.1561,-0.7669
-0.57118,-6.1561,-0.74126
-0.44425,-6.1561,-0.71452
-0.31732,-6.1561,-0.6869
-0.19039,-6.1561,-0.65864
-0.063465,-6.1561,-0.62999
0.063465,-6.1561,-0.60122
0.19039,-6.1561,-0.57258
0.31732,-6.1561,-0.54432
0.44425,-6.1561,-0.5167
0.57118,-6.1561,-0.48995
0.69811,-6.1561,-0.46431
0.82504,-6.1561,-0.43998
0.95197,-6.1561,-0.41715
1.0789,-6.1561,-0.39597
1.2058,-6.1561,-0.3766
1.3328,-6.1561,-0.35913
1.4597,-6.1561,-0.34365
1.5866,-6.1561,-0.33019
1.7135,-6.1561,-0.31877
1.8405,-6.1561,-0.30937
1.9674,-6.1561,-0.30193
2.0943,-6.1561,-0.29638
2.2213,-6.1561,-0.2926
2.3482,-6.1561,-0.29043
2.4751,-6.1561,-0.28972
2.6021,-6.1561,-0.29027
2.729,-6.1561,-0.29187
2.8559,-6.1561,-0.29429
2.9828,-6.1561,-0.29728
3.1098,-6.1561,-0.3006
3.2367,-6.1561,-0.30398
3.3636,-6.1561,-0.30716
3.4906,-6.1561,-0.3099
3.6175,-6.1561,-0.31194
3.7444,-6.1561,-0.31304
3.8713,-6.1561,-0.31299
3.9983,-6.1561,-0.31158
4.1252,-6.1561,-0.30863
4.2521,-6.1561,-0.30397
4.3791,-6.1561,-0.2975
4.506,-6.1561,-0.28909
4.6329,-6.1561,-0.27869
4.7598,-6.1561,-0.26625
4.8868,-6.1561,-0.25178
5.0137,-6.1561,-0.2353
5.1406,-6.1561,-0.21687
5.2676,-6.1561,-0.19658
5.3945,-6.1561,-0.17456
5.5214,-6.1561,-0.15096
5.6484,-6.1561,-0.12595
5.7753,-6.1561,-0.099734
5.9022,-6.1561,-0.072523
6.0291,-6.1561,-0.044553
6.1561,-6.1561,-0.016071
6.283,-6.1561,0.012669
-6.283,-6.0291,-1.2312
-6.1561,-6.0291,-1.1867
-6.0291,-6.0291,-1.1427
-5.9022,-6.0291,-1.0997
-5.7753,-6.0291,-1.0582
-5.6484,-6.0291,-1.0187
-5.5214,-6.0291,-0.9816
-5.3945,-6.0291,-0.94728
